問題ID,問題文,選択肢,解答,解説
1,"次の流れ図は，2数 A，B の最大公約数を求めるユークリッドの互除法を，
引き算の繰返しによって計算するものである。Aが876，Bが204のとき，
何回の比較で処理は終了するか。","4,9,10,11",11,"(開始時にL←876，S←204で初期化)
876＞204 … L←876－204＝672
672＞204 … L←672－204＝468
468＞204 … L←468－204＝264
264＞204 … L←264－204＝60
60＜204 … S←204－60＝144
60＜144 … S←144－60＝84
60＜84 … S←84－60＝24
60＞24 … L←60－24＝36
36＞24 … L←36－24＝12
12＜24 … S←24－12＝12
12＝12 … A，B，Lの出力"
2,"仮想記憶方式でページフォールトが発生したとき，
主記憶に最も古くから存在するページを追い出すアルゴリズムはどれか。","FIFO,LFU,LIFO,LRU",FIFO,"FIFOは、置き換え対象の中に最も古くから存在するページを追い出す
""先入れ先出し""のアルゴリズムです。"
3,ディレクトリトラバーサル攻撃に該当するものはどれか。,"攻撃者が，Webアプリケーションの入力データとしてデータベースへの命令文を構成するデータを入力し，管理者の意図していないSQL文を実行させる。,
攻撃者が，パス名を使ってファイルを指定し，管理者の意図していないファイルを不正に閲覧する。,
攻撃者が，利用者をWebサイトに誘導した上で，WebアプリケーションによるHTML出力のエスケープ処理の欠陥を悪用し，利用者のWebブラウザで悪意のあるスクリプトを実行させる。,
セッションIDによってセッションが管理されるとき，攻撃者がログイン中の利用者のセッションIDを不正に取得し，その利用者になりすましてサーバにアクセスする。",攻撃者が，パス名を使ってファイルを指定し，管理者の意図していないファイルを不正に閲覧する。,"ディレクトリ＝コンピュータの磁気記憶媒体（ハード ディスク・フロッピー 
ディスクなど）に記録された、その媒体上のすべてのファイルの管理情報
（名前・大きさ・記録場所など）。
トラバーサル＝系統や構造を乗り越えてアクセスすることなどを
形容する際に用いられる表現。"
4,プラズマディスプレイの説明として，適切なものはどれか。,"ガス放電によって発生する光を利用して映像を表示する。,
自身では発光しないので，バックライトを使って映像を表示する。,
電極の間に有機化合物を挟んだ構造で，これに電気を通すと発光することを利用して，映像を表示する。,
電子銃から電子ビームを発射し，管面の蛍光体に当てて発光させ，文字や映像を表示する。",ガス放電によって発生する光を利用して映像を表示する。,"プラズマディスプレイは、透明な電極を平行にならべ
2枚のガラス板の薄い隙間に希ガスを封入し、
この電極間に電圧をかけることによって発生する紫外線
によって赤・青・緑の蛍光体を光らせて表示を行うディスプレイ"
5,"8ビットのレジスタがある。このレジスタの各ビットの値を d0，d1，…，d7とし，
パリティビットの値をpとする。奇数パリティの場合，常に成立する関係式はどれか。
ここで，?は排他的論理和演算を表す。
","0?d0?d1? … ?d7＝p,
d0?d1? … ?d7＝p,
d0?d1? … ?d7?p＝0,
d0?d1? … ?d7?p＝1",d0?d1? … ?d7?p＝1,"XOR演算には次のように演算対象の各ビットのなかの「1」の数が奇数個
であれば結果は1、偶数個であれば結果が0になるという特徴があります。
奇数パリティは、データを構成するビット全体の中でビット「1」の数が
奇数個になるようにパリティビットを付加する方式なので、
パリティビットを含めた各ビットをすべてXOR演算した結果は
必ず「1」となります。"
6,16進小数0.Cを10進小数に変換したものはどれか。,"0.12,
0.55,
0.75,
0.84",0.12,"16進数を10進数に変換する場合は、16進数→2進数→10進数というように、
2進数を経由して考えるとわかりやすいです。
"
7,IDSの機能はどれか。,"PCにインストールされているソフトウェア製品が最新のバージョンであるかどうかを確認する。,
検査対象の製品にテストデータを送り，製品の応答や挙動から脆(ぜい)弱性を検出する。,
サーバやネットワークを監視し，侵入や侵害を検知した場合に管理者へ通知する。,
情報システムの運用管理状況などの情報セキュリティ対策状況と企業情報を入力し，組織の情報セキュリティへの取組み状況を自己診断する。","サーバやネットワークを監視し，
侵入や侵害を検知した場合に管理者へ通知する。","IDS(Intrusion Detection System，侵入検知システム)は、ネットワークやホストを
リアルタイムで監視し、異常を検知した場合に管理者に通知するなどの処置を行う
システムです。異常を通知することを目的としたシステムのため通信の遮断などの
防御機能を持たないことがほとんどです。"
8,データベースの障害回復に関する記述のうち，適切なものはどれか。,"データベースの信頼性を高めるために，同一のコピーをもつよりは，常に一世代前の内容を保持することがシステムダウン対策として効果的である。,
ログファイルやジャーナルファイルには，データベース更新以前の情報よりも，むしろ記録の意味で更新後の情報を格納する。,
ロールバックとは，OLTPなどの実行中に障害が発生したとき，トランザクション開始直前の状態にデータベースを復旧する処理をいう。,
ロールフォワードでは，定期的に取得したデータベースのダンプを書き戻すことでデータベースを復旧するので，障害発生時に更新データの一部が反映されないものの，高速な復旧が期待できる。
",ロールバックとは，OLTPなどの実行中に障害が発生したとき，トランザクション開始直前の状態にデータベースを復旧する処理をいう。,"ロールバックは、トランザクションの途中、プログラムのバグなどで
アプリケーションが強制終了した場合に、更新前ログを用いてデータベースを
トランザクション開始直前の状態に戻す処理です。"
9,基数変換に関する記述のうち，適切なものはどれか。,"2進数の有限小数は，10進数にしても必ず有限小数になる。,
8進数の有限小数は，2進数にすると有限小数にならないこともある。,
8進数の有限小数は，10進数にすると有限小数にならないこともある。,
10進数の有限小数は，8進数にしても必ず有限小数になる。",2進数の有限小数は，10進数にしても必ず有限小数になる。,"2進数0.1を10進数で表現すると0.5です。同様に0.01(2)→0.25(10)，
0.001(2)→0.125(10)というように必ず有限の10進数に変換できます。"
10,更新不可能なビューはどれか。,"ビュー定義にGROUP BY句が含まれるビュー,
ビュー定義にWHERE句が含まれるビュー,
ビューに対するビュー,
元の表の主キーを含まないビュー",更新不可能なビューはどれか。,"更新不可能なビューとは、実表に対して実表の行を挿入、更新または削除すること
ができないビューで、更新可能なビューの逆です。ビューを更新可能とするためには
ビュー定義に次に挙げる構造を含めてはいけません。
集約関数（AVG、COUNT、SUM、MIN、MAXなど）
2つ以上の表の結合（更新可能な結合，和集合及び列を除く）
GROUP BY、ORDER BY、MODEL、CONNECT BY、START WITH、DISTINCTの各句
SELECT構文のリストにコレクション式
SELECT構文のリストにある副問合せ
WITH READ ONLYが指定された副問合せ"
11,ストアドプロシージャの利点はどれか。,"アプリケーションプログラムからネットワークを介してDBMSにアクセスする場合，両者間の通信量を減少させる。,
アプリケーションプログラムからの一連の要求を一括して処理することによって，DBMS内の実行計画の数を減少させる。,
アプリケーションプログラムからの一連の要求を一括して処理することによって，DBMS内の必要バッファ数を減少させる。,
データが格納されているディスク装置へのI/O回数を減少させる。",アプリケーションプログラムからネットワークを介してDBMSにアクセスする場合，両者間の通信量を減少させる。,"ストアドプロシージャ(stored procedure)は、データベースに対する一連の処理を
まとめた手続きにして、データベース管理システムに保存したものです。
利用者は通常のクエリを発行する代わりに、データベース管理システム内の
手続きを呼び出すことによって目的の処理を実行させることができます。
"
